timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600074181619,2687,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-199,text,false,,3810,123,1000,1000,https://www.firstbench.app/,735,0,410
1600074181619,735,Landing page-0,301,Moved Permanently,JMeter Users 1-199,text,true,,428,123,1000,1000,http://www.firstbench.app/,735,0,410
1600074182354,1952,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-199,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1952
1600074184307,0,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-199,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181639,2671,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-221,text,false,,3810,123,1000,1000,https://www.firstbench.app/,721,0,404
1600074181639,721,Landing page-0,301,Moved Permanently,JMeter Users 1-221,text,true,,428,123,1000,1000,http://www.firstbench.app/,721,0,404
1600074182360,1950,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-221,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1950
1600074184311,1,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-221,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181638,2682,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-219,text,false,,3810,123,1000,1000,https://www.firstbench.app/,729,0,411
1600074181638,729,Landing page-0,301,Moved Permanently,JMeter Users 1-219,text,true,,428,123,1000,1000,http://www.firstbench.app/,729,0,411
1600074182367,1953,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-219,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1953
1600074184321,0,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-219,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181658,2664,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-246,text,false,,3810,123,1000,1000,https://www.firstbench.app/,826,0,450
1600074181658,826,Landing page-0,301,Moved Permanently,JMeter Users 1-246,text,true,,428,123,1000,1000,http://www.firstbench.app/,826,0,450
1600074182485,1837,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-246,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1837
1600074184323,0,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-246,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181559,2772,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-12,text,false,,3810,123,1000,1000,https://www.firstbench.app/,798,0,480
1600074181559,798,Landing page-0,301,Moved Permanently,JMeter Users 1-12,text,true,,428,123,1000,1000,http://www.firstbench.app/,798,0,480
1600074182356,1975,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-12,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1975
1600074184332,0,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-12,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181604,2732,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-179,text,false,,3810,123,1000,1000,https://www.firstbench.app/,706,0,406
1600074181604,706,Landing page-0,301,Moved Permanently,JMeter Users 1-179,text,true,,428,123,1000,1000,http://www.firstbench.app/,706,0,406
1600074182315,2021,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-179,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,2021
1600074181590,2747,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-151,text,false,,3810,123,1000,1000,https://www.firstbench.app/,913,0,539
1600074184337,0,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-179,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181590,913,Landing page-0,301,Moved Permanently,JMeter Users 1-151,text,true,,428,123,1000,1000,http://www.firstbench.app/,913,0,539
1600074182504,1833,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-151,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1833
1600074184337,1,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-151,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181600,2738,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-164,text,false,,3810,123,1000,1000,https://www.firstbench.app/,791,0,455
1600074181600,791,Landing page-0,301,Moved Permanently,JMeter Users 1-164,text,true,,428,123,1000,1000,http://www.firstbench.app/,791,0,455
1600074182391,1947,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-164,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1947
1600074181561,2777,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-32,text,false,,3810,123,1000,1000,https://www.firstbench.app/,976,0,603
1600074181561,976,Landing page-0,301,Moved Permanently,JMeter Users 1-32,text,true,,428,123,1000,1000,http://www.firstbench.app/,976,0,603
1600074182537,1801,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-32,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1801
1600074181560,2779,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-24,text,false,,3810,123,1000,1000,https://www.firstbench.app/,777,0,467
1600074181560,777,Landing page-0,301,Moved Permanently,JMeter Users 1-24,text,true,,428,123,1000,1000,http://www.firstbench.app/,777,0,467
